test_subject,test_type,test_queue,gold_answer,pretrained_subject,pretrained_answer,pretrained_retrieval_score,pretrained_answer_similarity_top1,pretrained_answer_similarity_best3,v2_subject,v2_answer,v2_retrieval_score,v2_answer_similarity_top1,v2_answer_similarity_best3,best3_delta
,Problem,Customer Service,"We are investigating the issues with the data analytics platform. To troubleshoot effectively, please provide details about the crashes, including any error messages and the times they occurred. Additionally, we require your account information, specifically the account number, to conduct an investigation and determine the appropriate course of action to resolve the problem.",,"We are investigating the issues with the data analytics platform. To troubleshoot effectively, please provide details about the crashes, including any error messages and the times they occurred. Additionally, we require your account information, specifically the account number, to proceed with the investigation and determine the appropriate course of action to resolve the problem.",0.9991726279258728,0.9991278052330017,0.9991278052330017,,"We are investigating the issues with the data analytics platform. To troubleshoot effectively, please provide details about the crashes, including any error messages and the times they occurred. Additionally, we require your account information, specifically the account number, to proceed with the investigation and determine the appropriate course of action to resolve the problem.",0.9977700710296631,0.9991278052330017,0.9991278052330017,0.0
Urgente Assistência Técnica Necessária,Incident,Technical Support,Ligue para <tel_num> para discutir o problema e receber assistência técnica imediata para resolver a crítica falha de função.,Supportanfrage zu technischen Problemen,"Rufen Sie uns unter <tel_num> an, um bei technischen Problemen Unterstützung zu erhalten.",0.8372570276260376,0.7597988843917847,0.7597988843917847,Urgent Technical Support Required at Once,Please contact <tel_num> to discuss the issue and receive immediate technical support to resolve the critical failure.,0.6773462295532227,0.7999028563499451,0.7999028563499451,0.0401039719581604
Issue with Data Analytics System,Problem,Technical Support,"Dear <name>, I acknowledge receipt of your email regarding the issue with the company's Data Analytics System, likely caused by software conflicts on several devices. I understand the urgency to resolve this problem and prevent additional delays in investments. We are ready to assist and can arrange a call to discuss the issue and review the steps taken so far. Would a phone call at your convenience be possible? Please suggest suitable times. Additionally, please have the system and software details ready for the discussion.",Problem with Data Analytics Application,Please investigate the Data Analytics Application issue. Kindly provide details about the hardware and software used. You can contact us at <tel_num> to discuss the steps for resolution.,0.8923366069793701,0.6006265878677368,0.7555514574050903,Problem with Data Analytics Application,Please investigate the Data Analytics Application issue. Kindly provide details about the hardware and software used. You can contact us at <tel_num> to discuss the steps for resolution.,0.7345530986785889,0.6006265878677368,0.7555514574050903,0.0
Details on Securing Medical Data for Hospital Products and Services,Request,Product Support,"<name>, thank you for reaching out regarding the security of medical data for our hospital's products and services. We take data protection very seriously and have implemented robust measures to ensure the confidentiality, integrity, and availability of sensitive medical information. Our products and services are designed not only to meet but to exceed industry standards for data security, including compliance with relevant regulations such as HIPAA. We utilize advanced encryption methods, secure data storage, and access controls to protect medical data.",Details on Securing Medical Data in Hospital Systems,"Dear [Name],\n\nWe appreciate your inquiry about securing medical data to improve hospital systems. To provide suitable information, could you please share the details of your current hospital setup and the specific areas of concern regarding security? This will enable us to offer tailored guidance. Additionally, we can discuss potential solutions such as data encryption, access controls, and regular system updates. If you are available for a call, we would be happy to discuss this further.",0.9320735335350037,0.7556449174880981,0.7977909445762634,Details on Securing Medical Data in Hospital Systems,"Dear [Name],\n\nWe appreciate your inquiry about securing medical data to improve hospital systems. To provide suitable information, could you please share the details of your current hospital setup and the specific areas of concern regarding security? This will enable us to offer tailored guidance. Additionally, we can discuss potential solutions such as data encryption, access controls, and regular system updates. If you are available for a call, we would be happy to discuss this further.",0.8424094319343567,0.7556449174880981,0.7977909445762634,0.0
Problem with Hospital System Security,Incident,Technical Support,"Acknowledging the data breach in the hospital's system, we appreciate the temporary measures taken. A specialist will be sent to review and update the security protocols and software to prevent future breaches.",Concern Regarding Security Breach in Hospital System,We acknowledge the data breach in the hospital's system and appreciate the temporary measures that have been taken. We will send a specialist to review and update the security protocols and software to prevent future breaches.,0.9661104083061218,0.9649243354797363,0.9818121790885925,Concern Regarding Security Breach in Hospital System,We acknowledge the data breach in the hospital's system and appreciate the temporary measures that have been taken. We will send a specialist to review and update the security protocols and software to prevent future breaches.,0.9141351580619812,0.9649243354797363,0.9818121790885925,0.0
Issue with Financial Analytics Software,Problem,Product Support,"To investigate the issue with the Financial Analytics Software, please call us at <tel_num> to discuss further steps for resolving the problem.",Problem with Financial Analytics Software Identified,"Thank you for reaching out to us regarding the issue with the financial analytics software. We apologize for any inconvenience this may have caused and appreciate the steps you have already taken to troubleshoot the problem. To assist you more effectively, we would like to review the recent algorithm updates and the incorrect investment recommendations. Could you please provide specific examples of the issues you are experiencing, including any error messages or screenshots? This will help us better understand the problem and provide an effective solution. If needed, we may require additional information.",0.8432310819625854,0.7312957048416138,0.7312957048416138,Problem with Financial Analytics Software Identified,"Thank you for reaching out to us regarding the issue with the financial analytics software. We apologize for any inconvenience this may have caused and appreciate the steps you have already taken to troubleshoot the problem. To assist you more effectively, we would like to review the recent algorithm updates and the incorrect investment recommendations. Could you please provide specific examples of the issues you are experiencing, including any error messages or screenshots? This will help us better understand the problem and provide an effective solution. If needed, we may require additional information.",0.7152014970779419,0.7312957048416138,0.7312957048416138,0.0
Assistance with ActiveCampaign Analytics,Request,Sales and Pre-Sales,"I will provide information on ActiveCampaign analytics capabilities and available resources via phone. If you prefer, we can arrange a call for your convenience.",Support for ActiveCampaign Analytics,"I will provide information on ActiveCampaign analytics capabilities and available resources. For your convenience, let's arrange a phone call.",0.9956791400909424,0.9735075831413269,0.9735075831413269,Support for ActiveCampaign Analytics,"I will provide information on ActiveCampaign analytics capabilities and available resources. For your convenience, let's arrange a phone call.",0.991525411605835,0.9735075831413269,0.9735075831413269,0.0
Request for Integrated Project Management Features,Change,IT Support,"Dear <name>, thank you for your email regarding the request for project management features. We appreciate your feedback and look forward to further consideration of this issue. Could you please provide more details on the specific functionalities required to enhance team collaboration? If needed, we can contact you at <tel_num> to discuss the next steps.",Request for Integration of Project Management Features,"<name>, thank you for your email regarding the project management feature request. We appreciate your feedback and would be happy to discuss this further. Could you please provide more details on the specific features you are looking for to improve our team's collaboration? We will review your request and contact you at <tel_num> to discuss the next steps needed.",0.9426749348640442,0.9548407793045044,0.9643657207489014,Request for Integration of Project Management Features,"<name>, thank you for your email regarding the project management feature request. We appreciate your feedback and would be happy to discuss this further. Could you please provide more details on the specific features you are looking for to improve our team's collaboration? We will review your request and contact you at <tel_num> to discuss the next steps needed.",0.8980575203895569,0.9548407793045044,0.9643657207489014,0.0
,Request,Billing and Payments,"Wir bieten verschiedene Zahlungsmethoden und Rabatte für langfristige Verpflichtungen an. Bitte gestatten Sie mir, einen passenden Zeitpunkt für einen Anruf zu vereinbaren, um die Details zu besprechen und Ihre Fragen zu den Investitionsoptimierungsdiensten zu beantworten.",,"Wir bieten verschiedene Zahlungsmethoden, Rabatte bei langfristigen Verpflichtungen an. Bitte erlauben Sie mir, einen passenden Zeitpunkt für einen Anruf zu vereinbaren, um Details zu besprechen und Ihre Fragen zu den Investitionsoptimierungsdiensten zu beantworten.",0.9869529604911804,0.9971491694450378,0.9971491694450378,,"Wir bieten verschiedene Zahlungsmethoden, Rabatte bei langfristigen Verpflichtungen an. Bitte erlauben Sie mir, einen passenden Zeitpunkt für einen Anruf zu vereinbaren, um Details zu besprechen und Ihre Fragen zu den Investitionsoptimierungsdiensten zu beantworten.",0.9622985124588013,0.9971491694450378,0.9971491694450378,0.0
Error with Smart Socket Device,Incident,Technical Support,Please investigate the issue with the Smart Steckdose device. Kindly provide any error messages for further assistance.,Issue with Smart Socket Device,Please investigate the issue with the Smart Socket Device further. Kindly provide detailed error information so that we can offer more specific assistance.,0.9199857115745544,0.8073622584342957,0.8073622584342957,Issue with Smart Socket Device,Please investigate the issue with the Smart Socket Device further. Kindly provide detailed error information so that we can offer more specific assistance.,0.8915655612945557,0.8073622584342957,0.8073622584342957,0.0
Verletzung von Datenschutz,Incident,Technical Support,"Geliebter/r [Name],\n\nich schreibe Ihnen, um Sie über einen möglichen Datenschutzverletzungsvorfall mit der Sicherung medizinischer Akten innerhalb der hospital IT-Infrastruktur zu informieren. Ich verstehe die Bedeutung dieser Situation und den Notwendigkeit, die Datensicherheit zu gewährleisten. Um Ihnen besser zu helfen, bitte ich Sie, weitere Informationen zum Vorfall anzubieten, wie z.B. das Datum und die Uhrzeit des Vorfalls sowie die spezifischen Anwendungen, die betroffen waren. Es wäre sehr hilfreich, zu erfahren, welche Sicherheitsprotokolle bisher verbessert wurden. Ich bin bereit, einen Anruf mit unserem Senior IT-Spezialisten zu vereinbaren, um den Vorfall detaillierter zu besprechen.",Sicherheitsverletzung in der Klinik-IT-Systeme,"Sehr geehrte [Name],\n\nIch bestätige, dass ich den E-Mail-Bericht über die Sicherheitsverletzung in den Klinik-IT-Systemen erhalten habe. Ich verstehe die gravierende Bedrohung für die Vertraulichkeit medizinischer Daten.\n\nUm Ihnen besser zu helfen, bitten Sie um weitere Informationen zu den durchgeführten Software-Updates und Sicherheitsmaßnahmen. Ich würde gerne einen telefonischen Gesprächstermin vereinbaren, um die Angelegenheit zu besprechen und mögliche Lösungen zu erörtern. Wenn Sie geeignete Zeit haben, teilen Sie bitte Ihre Verfügbarkeit mit. Sollten Sie anrufen, können Sie sich an den folgenden Nummer wenden: [Tel-Nummer].\n\nMit freundlichen Grüßen",0.8745540976524353,0.844020664691925,0.844020664691925,Fehlermeldung Datenschutzverletzung,Spezialisten werden sofort zur Unterstützung für die Datenschutzverletzung geschickt.,0.597984790802002,0.539070725440979,0.844020664691925,0.0
Benötigung von IT-Benutzer-Support,Incident,Product Support,"Sehr geehrte(r) [Name], wir sind besorgt über die festgestellten unerlaubten Zugriffsversuche auf sensible medizinische Daten. Trotz unserer Bemühungen, die Sicherheitsprotokolle zu aktualisieren und Malware-Scans durchzuführen, bestehen weiterhin Probleme. Wir möchten Ihnen helfen, die Situation genauer zu untersuchen. Bitte geben Sie uns mehr Informationen über die Natur der Versuche und die Sicherheitsmaßnahmen, die Sie eingesetzt haben. Es würde auch hilfreich sein, wenn Sie den letzten Zeitpunkt der Versuche nennen könnten. Wenn es sich ergibt, können wir telefonisch bei [Telefonnummer] vereinbaren, um die Angelegenheit zu besprechen und die nächsten Schritte zu erarbeiten.",Unbefugter Zugriff auf sensible medizinische Daten,"Sehr geehrte/r [Name],\n\nwir sind besorgt über unerlaubte Zugriffsversuche auf sensible medizinische Daten. Trotz der Aktualisierung der Sicherheitsprotokolle und durchgeführter Scans nach Malware bestehen weiterhin Probleme. Wir möchten dies genauer untersuchen und Ihnen behilflich sein.\n\nKönnten Sie uns mehr Informationen zur Art der Versuche sowie dem aktuellen Sicherheitsstand geben? Zudem wären wir dankbar, wenn Sie uns den Zeitpunkt der letzten erkannten Versuche mitteilen könnten. Am besten wären wir, wenn wir telefonisch mit Ihnen verabreden könnten, um den Fall zu besprechen und die nächsten Schritte zu bestimmen. [Telefonnummer]",0.9245057106018066,0.9572145938873291,0.9572145938873291,Unbefugter Zugriff auf sensible medizinische Daten,"Sehr geehrte/r [Name],\n\nwir sind besorgt über unerlaubte Zugriffsversuche auf sensible medizinische Daten. Trotz der Aktualisierung der Sicherheitsprotokolle und durchgeführter Scans nach Malware bestehen weiterhin Probleme. Wir möchten dies genauer untersuchen und Ihnen behilflich sein.\n\nKönnten Sie uns mehr Informationen zur Art der Versuche sowie dem aktuellen Sicherheitsstand geben? Zudem wären wir dankbar, wenn Sie uns den Zeitpunkt der letzten erkannten Versuche mitteilen könnten. Am besten wären wir, wenn wir telefonisch mit Ihnen verabreden könnten, um den Fall zu besprechen und die nächsten Schritte zu bestimmen. [Telefonnummer]",0.8068872094154358,0.9572145938873291,0.9572145938873291,0.0
Enhance Growth of Digital Tools,Change,Technical Support,"<name> Thanks for contacting the customer support team regarding the enhancement of digital tools for growth. To better understand your current setup, we can provide a comprehensive plan and would like to schedule a call to discuss your specific needs and challenges. During the call, we can review your social media management, email marketing, and data analytics workflows to identify areas for improvement. We can also recommend additional integrations that could benefit your team. Please let us know a convenient time for the call.",Enhance Digital Tools for Growth,"<name> appreciates your contact with the customer support team regarding the enhancement of digital tools for growth. To better understand your current setup, we would like to schedule a call to discuss your specific needs and challenges. During the call, we can review your social media management, email marketing, and data analytics workflows to identify areas for improvement. We will also suggest additional integrations that could benefit your team. Please let us know a convenient time for the call.",0.9694824814796448,0.9839228391647339,0.9839228391647339,Enhance Digital Tools for Growth,"<name> appreciates your contact with the customer support team regarding the enhancement of digital tools for growth. To better understand your current setup, we would like to schedule a call to discuss your specific needs and challenges. During the call, we can review your social media management, email marketing, and data analytics workflows to identify areas for improvement. We will also suggest additional integrations that could benefit your team. Please let us know a convenient time for the call.",0.9422305822372437,0.9839228391647339,0.9839228391647339,0.0
Support Ticket für Projektmanagement-Software,Problem,Technical Support,"Sehr geehrte [Name], wir haben Ihre E-Mail über Probleme mit unserer Projektmanagement-Software beim Integrieren von BigCommerce IFTTT erhalten. Entschuldigung für die dadurch verursachten Unannehmlichkeiten. Wir haben versucht, die Software zu reparieren, den Cache zu löschen und Konflikte zu überprüfen, und das Problem ist nun behebt. Um Ihnen besser zu helfen, bitten wir Sie, Details über die neuesten Updates zu teilen, die Sie installiert haben, sowie genaue Fehlermeldungen. Diese Informationen werden uns bei der Identifizierung möglicher Kompatibilitätsprobleme behilflich sein.",Issues with Project Management Software Integrating BigCommerce IFTTT,"<name> acknowledges the email regarding the issues with the project management software when integrating BigCommerce and IFTTT. Apologizes for the inconvenience caused by the frequent crashes. Understand that you have already tried reinstalling, clearing the cache, and checking for conflicts without resolving the issue. To assist you further, please provide details on the recent updates and any exact error messages received. This information will help us better understand the problem and investigate possible compatibility conflicts. Please provide the necessary details.",0.8643472194671631,0.8735881447792053,0.8735881447792053,Issues with Project Management Software Integrating BigCommerce IFTTT,"<name> acknowledges the email regarding the issues with the project management software when integrating BigCommerce and IFTTT. Apologizes for the inconvenience caused by the frequent crashes. Understand that you have already tried reinstalling, clearing the cache, and checking for conflicts without resolving the issue. To assist you further, please provide details on the recent updates and any exact error messages received. This information will help us better understand the problem and investigate possible compatibility conflicts. Please provide the necessary details.",0.8350626826286316,0.8735881447792053,0.8735881447792053,0.0
Herausforderungen bei digitalen Strategien,Incident,Product Support,"Untersuche das Problem mit fehlerhaften integrierten Anwendungen bei digitalen Strategien. Um Ihnen besser zu helfen, bitte geben Sie mehr Details an, insbesondere über die neuesten Softwareupdates und die Methoden, die das Team bei der Debugging-Verarbeitung angewendet hat. Es ist notwendig, einen Anruf zu vereinbaren. Wären Sie am kommenden Tag verfügbar, möchten Sie einen geeigneten Zeitpunkt für die Rückrufanfrage? Bitte geben Sie den Verweis <acc_num> an.",Concerns with Digital Strategies,"We are looking into the issues with the digital strategies and the integration application failures. To better assist you, could you please provide more details on the recent software updates and the troubleshooting steps your team has taken? If needed, we can schedule a call to discuss further. I would be available at a specific time tomorrow and prefer to arrange the call via this number: <tel_num>. Please let us know <acc_num> for reference.",0.9225966334342957,0.8223851919174194,0.8533352613449097,Concerns with Digital Strategies,"We are looking into the issues with the digital strategies and the integration application failures. To better assist you, could you please provide more details on the recent software updates and the troubleshooting steps your team has taken? If needed, we can schedule a call to discuss further. I would be available at a specific time tomorrow and prefer to arrange the call via this number: <tel_num>. Please let us know <acc_num> for reference.",0.7886899709701538,0.8223851919174194,0.8533352613449097,0.0
Problem with Zapier Integration,Incident,Product Support,We apologize for the Zapier Sage Accounting integration issue. Please provide the error message you are receiving. I would be happy to assist with troubleshooting and can schedule a call at your convenience to resolve the issue with your investment data analytics.,Zapier Integration Problem,"I apologize for the Zapier Sage Accounting integration issue. Please provide the error message you are receiving, and I will be happy to assist with troubleshooting. Let's schedule a call at your convenience to resolve the issue with investment data analytics.",0.9740686416625977,0.9862878322601318,0.9862878322601318,Zapier Integration Problem,"I apologize for the Zapier Sage Accounting integration issue. Please provide the error message you are receiving, and I will be happy to assist with troubleshooting. Let's schedule a call at your convenience to resolve the issue with investment data analytics.",0.972504198551178,0.9862878322601318,0.9862878322601318,0.0
Enhancing Digital Marketing Strategies for Better Results,Request,Product Support,Glad to assist in optimizing your digital marketing strategies. Please share details about your current campaigns and objectives so I can provide tailored guidance and specific advice.,Effektive Verbesserung digitaler Marketingansätze,"Gerne unterstütze ich Sie bei der Optimierung Ihrer digitalen Marketingstrategien. Könnten Sie bitte nähere Angaben zu Ihren aktuellen Kampagnen und Zielen machen, damit ich spezifischere Ratschläge und Empfehlungen geben kann?",0.9228722453117371,0.9516631364822388,0.9516631364822388,Support for Enhancing Digital Marketing Strategies,"Dear [Name], thank you for your inquiry regarding the optimization of social media campaigns, improvement of website user experience, and development of effective email marketing initiatives. To discuss these goals in more detail, we would like to schedule a call at your earliest convenience. Would it be possible for you to provide a convenient time to call at [Phone Number]? Looking forward to assisting you in achieving your digital marketing objectives, [Account Number].",0.6828161478042603,0.6688545942306519,0.9516631960868835,5.960464477539063e-08
Support Inquiry Regarding Digital Strategies for Brand Expansion,Request,Returns and Exchanges,"<name>, thank you for contacting our marketing agency regarding digital strategies for brand growth. We offer a variety of services designed to help businesses enhance their online presence and increase brand awareness, including social media management, content creation, and search engine optimization. Our team collaborates closely with clients to understand their unique needs and develop tailored solutions to meet their objectives. The costs and duration of services vary depending on the scope of the project, and we would be happy to provide a detailed quote after discussing your specific requirements.",Support for Digital Strategies and Brand Expansion Inquiry,"<name>, thank you for contacting our marketing agency regarding digital strategies and brand expansion. We offer a variety of services designed to help businesses grow their online presence and increase brand awareness, including social media management, content creation, and search engine optimization. Our team collaborates closely with clients to understand their specific needs and develop tailored solutions to meet their objectives. The costs and duration of services depend on the scope of each project, and we would be happy to provide more detailed information based on your requirements.",0.9784729480743408,0.9568153619766235,0.9568153619766235,Support for Digital Strategies and Brand Expansion Inquiry,"<name>, thank you for contacting our marketing agency regarding digital strategies and brand expansion. We offer a variety of services designed to help businesses grow their online presence and increase brand awareness, including social media management, content creation, and search engine optimization. Our team collaborates closely with clients to understand their specific needs and develop tailored solutions to meet their objectives. The costs and duration of services depend on the scope of each project, and we would be happy to provide more detailed information based on your requirements.",0.9532392621040344,0.9568153619766235,0.9568153619766235,0.0
Enhancing Airtable for Marketing Efficiency,Request,IT Support,I would be glad to help optimize Airtable for your marketing strategies. Please provide details on your current workflow so I can offer specific guidance and practices to improve productivity.,Support Needed for Optimization,We can assist in optimizing your software and hardware resources and enhancing your digital marketing strategies. Please provide details about your current setup and goals. We will review this information and recommend necessary upgrades or changes to help you achieve your marketing objectives.,0.8163295984268188,0.7273860573768616,0.7273860573768616,Support Needed for Optimization,We can assist in optimizing your software and hardware resources and enhancing your digital marketing strategies. Please provide details about your current setup and goals. We will review this information and recommend necessary upgrades or changes to help you achieve your marketing objectives.,0.5750917196273804,0.7273860573768616,0.7273860573768616,0.0
Probleme bei Anwendungsabstürzen,Incident,IT Support,"Sehr geehrte/r [Name], es tut uns leid, dass Sie gelegentliche Abstürze bei Sage Accounting, Duolingo und Datenberichterstellung erleben. Bitte geben Sie uns mehr Informationen zu den Abstürzen, wie etwa eventuell received Fehlermeldungen oder die Häufigkeit der Abstürze. Dies wird uns helfen, das Problem besser zu verstehen und eine Lösung anzubieten. Wir möchten gerne darüber sprechen und haben gerne einen geeigneten Zeitpunkt für einen Anruf. Bitte lassen Sie uns wissen, wann Ihnen ein Anruf gut passt.",Probleme mit Ausnahmen in Anwendungen,"Sehr geehrte [name], wir sind besorgt über gelegentliche Ausfälle in Sage Accounting, Duolingo und bei der Erstellung von Datenberichten. Bitte geben Sie mehr Details zu den Ausfällen an, etwa eventuelle Fehlermeldungen oder die Häufigkeit der Ausfälle. Das hilft uns, das Problem besser zu verstehen und eine Lösung anzubieten. Wir sind bereit, ein Telefonat zu vereinbaren, um das Thema zu besprechen. Könnten Sie einen geeigneten Zeitpunkt freimachen, um ein Telefonat zu vereinbaren? Bitte teilen Sie passendes Datum und Uhrzeit mit.",0.9043219685554504,0.8629685640335083,0.8766779899597168,Probleme mit Ausnahmen in Anwendungen,"Sehr geehrte [name], wir sind besorgt über gelegentliche Ausfälle in Sage Accounting, Duolingo und bei der Erstellung von Datenberichten. Bitte geben Sie mehr Details zu den Ausfällen an, etwa eventuelle Fehlermeldungen oder die Häufigkeit der Ausfälle. Das hilft uns, das Problem besser zu verstehen und eine Lösung anzubieten. Wir sind bereit, ein Telefonat zu vereinbaren, um das Thema zu besprechen. Könnten Sie einen geeigneten Zeitpunkt freimachen, um ein Telefonat zu vereinbaren? Bitte teilen Sie passendes Datum und Uhrzeit mit.",0.8831422328948975,0.8629685640335083,0.8766779899597168,0.0
Technischer Ausfall von digitalem Werkzeug,Incident,Technical Support,"Das Service-Desk wird Ihnen bei dem technischen Ausfall von digitalen Werkzeugen behilflich sein. Um das Problem besser zu verstehen, bitten wir Sie, mehr Details zu den neulich installierten Software-Updates für spezifische digitale Werkzeuge zu geben, die betroffen sind. Falls möglich, möchten wir telefonisch Kontakt aufnehmen (<tel_num>) und gemeinsam die Kompatibilitätsprobleme lösen, um den normalen Betrieb schnell wiederherzustellen.",Technische Probleme bei digitalen Tools,"Sehr geehrte/r [Name],\n\nich möchte Sie daran erinnern, dass ich technische Probleme bei verschiedenen digitalen Tools behandelt habe, die die Markenwirkung infolge neuer Softwareaktualisierungen und Unkompatibilitäten beeinträchtigen.\n\nUm das Problem zu lösen, wäre es hilfreich, wenn Sie eine genaue Lösung anbieten könnten. Bitte geben Sie weitere Details zum spezifischen Tool, das nicht richtig funktioniert, und den genauen Fehlermeldungen. Ein genauer Zeitpunkt der Softwareaktualisierungen wäre ebenfalls hilfreich. Ein Anruf zum Vereinbaren einer konkreten Zeit wäre notwendig.\n\nMit freundlichen Grüßen",0.8942055702209473,0.701809823513031,0.701809823513031,Technische Probleme bei digitalen Tools,"Sehr geehrte/r [Name],\n\nich möchte Sie daran erinnern, dass ich technische Probleme bei verschiedenen digitalen Tools behandelt habe, die die Markenwirkung infolge neuer Softwareaktualisierungen und Unkompatibilitäten beeinträchtigen.\n\nUm das Problem zu lösen, wäre es hilfreich, wenn Sie eine genaue Lösung anbieten könnten. Bitte geben Sie weitere Details zum spezifischen Tool, das nicht richtig funktioniert, und den genauen Fehlermeldungen. Ein genauer Zeitpunkt der Softwareaktualisierungen wäre ebenfalls hilfreich. Ein Anruf zum Vereinbaren einer konkreten Zeit wäre notwendig.\n\nMit freundlichen Grüßen",0.7800956964492798,0.701809823513031,0.7185481786727905,0.01673835515975952
Issue with Analytics-Dashboard,Incident,Product Support,"Investigate the issue with the Analytics-Dashboard. Please provide detailed information on the updatable metrics, and further assistance will be offered.",Issue with Analytics-Dashboard during Server Migration,Investigate the issue with the Analytics-Dashboard during the server migration. Could you please provide more details about the displayed updated metrics? I need to know the exact metrics and when they were last updated to assist in a thorough investigation and provide a quick solution.,0.8654685020446777,0.7244814038276672,0.8433607816696167,Issue with Analytics-Dashboard during Server Migration,Investigate the issue with the Analytics-Dashboard during the server migration. Could you please provide more details about the displayed updated metrics? I need to know the exact metrics and when they were last updated to assist in a thorough investigation and provide a quick solution.,0.8299167156219482,0.7244814038276672,0.8433607816696167,0.0
Customer Assistance Inquiry,Request,Billing and Payments,"Please provide a comprehensive breakdown of costs for payment plans related to Adobe Sign and Google Cloud Platform services, including any discounts or possible penalties. If convenient, kindly specify a suitable time for a call to discuss further; feel free to let us know a preferred time at <tel_num>.",Request for Customer Support Assistance,"Please provide a detailed breakdown of costs for payment plans related to Adobe Sign and Google Cloud Platform services, including any discounts and potential penalties. If possible, let me know a convenient time for a call to discuss further; kindly inform me of a suitable time to reach you at <tel_num>.",0.9776793122291565,0.9894498586654663,0.9894498586654663,Request for Customer Support Assistance,"Please provide a detailed breakdown of costs for payment plans related to Adobe Sign and Google Cloud Platform services, including any discounts and potential penalties. If possible, let me know a convenient time for a call to discuss further; kindly inform me of a suitable time to reach you at <tel_num>.",0.9743788242340088,0.9894498586654663,0.9894498586654663,0.0
,Incident,Service Outages and Maintenance,"Ich schreibe Ihnen bestätigen, dass Sie Unterstützung für Ihre Anliegen in Bezug auf Problemen mit Ihrer Markenonline-Präsenz benötigen. Ich verstehe, dass Sie Hilfe suchen, um ineffektive digitalen Strategien der Marketing-Agentur zu überwinden und neue, erfolgreiche Strategien umzusetzen, um den Markenwachstum zu steigern. Um Ihnen effektive Unterstützung zu bieten, würde ich gerne zusätzliche Informationen anfordern. Bitte geben Sie mehr Details über die aktuellen Kampagnen, die Zieldesigns und die bislang durchgeführten Analysen. Dies ermöglicht es mir, eine gründliche Analyse durchzuführen und potenzielle Verbesserungsbereiche zu identifizieren.",,"Ich schreibe Ihnen, um bestätigen zu können, dass Ihre Anfrage nach Unterstützung für die Markenonlinepräsenz entgegengenommen wurde. Ich verstehe, dass Sie den Erfolg digitaler Strategien für eine Marketing-Agentur gewünscht haben und eine Identifizierung der Ursache sowie die Umsetzung einer neuen Strategie benötigen, um die Markengröße zu erhöhen. Um die Situation besser zu verstehen und wirksam zu helfen, benötige ich zusätzliche Informationen. Könnten Sie bitte Details zu den aktuellen Kampagnen, dem Zielsegmentierungskonzept und den bisher durchgeführten Analysen liefern? Das ermöglicht es mir, eine gründliche Analyse durchzuführen und potenzielle Bereiche der Verbesserung zu identifizieren. Sobald ich diese Informationen habe, werde ich die nächsten Schritte zur Lösung des Problems mitteilen.",0.9212967157363892,0.9298273324966431,0.9298273324966431,,"Ich schreibe Ihnen, um bestätigen zu können, dass Ihre Anfrage nach Unterstützung für die Markenonlinepräsenz entgegengenommen wurde. Ich verstehe, dass Sie den Erfolg digitaler Strategien für eine Marketing-Agentur gewünscht haben und eine Identifizierung der Ursache sowie die Umsetzung einer neuen Strategie benötigen, um die Markengröße zu erhöhen. Um die Situation besser zu verstehen und wirksam zu helfen, benötige ich zusätzliche Informationen. Könnten Sie bitte Details zu den aktuellen Kampagnen, dem Zielsegmentierungskonzept und den bisher durchgeführten Analysen liefern? Das ermöglicht es mir, eine gründliche Analyse durchzuführen und potenzielle Bereiche der Verbesserung zu identifizieren. Sobald ich diese Informationen habe, werde ich die nächsten Schritte zur Lösung des Problems mitteilen.",0.7262895107269287,0.9298273324966431,0.9298273324966431,0.0
Probleme mit der Synchronisierung von Monday.com und Airtable gemeldet,Incident,Technical Support,"Wir werden die gemeldeten Synchronisierungsprobleme von Monday.com und Airtable untersuchen. Um Ihnen besser zu helfen, bitten wir um spezifizere Details oder Fehlermeldungen. Bitte rufen Sie uns unter <tel_num> an, um bald eine Besprechung zu vereinbaren, bei der wir eine schnelle Lösung finden können.",Probleme bei der Synchronisierung Monday.com mit Airtable gemeldet,"Wir werden Lösungsansätze für die Sync-Probleme zwischen Monday.com und Airtable prüfen. Das Team hat bereits berichtet. Um Ihnen besser zu helfen, bitte geben Sie mehr Details und Fehlermeldungen an. Sie können mich unter <tel_num> kontaktieren, um einen Termin für eine Konferenz zu vereinbaren, um das Problem baldigst zu lösen.",0.9705246686935425,0.9273673295974731,0.9617167115211487,Probleme bei der Synchronisierung Monday.com mit Airtable gemeldet,"Wir werden Lösungsansätze für die Sync-Probleme zwischen Monday.com und Airtable prüfen. Das Team hat bereits berichtet. Um Ihnen besser zu helfen, bitte geben Sie mehr Details und Fehlermeldungen an. Sie können mich unter <tel_num> kontaktieren, um einen Termin für eine Konferenz zu vereinbaren, um das Problem baldigst zu lösen.",0.9642046689987183,0.9273673295974731,0.9617167115211487,0.0
Digital Campaigns Unsuccessful Due to Integration Issues,Problem,Technical Support,<name> received an email regarding the failure of digital campaigns caused by integration errors and would like to request details about the error messages received and the steps taken so far to help resolve the issue.,Digital Campaigns Encountered Failures Due to Integration Problems,<name> received an email regarding the failure of digital campaigns caused by integration errors and would like to request details about the error messages received and the steps already taken to address the issue.,0.9854823350906372,0.994611382484436,0.994611382484436,Digital Campaigns Encountered Failures Due to Integration Problems,<name> received an email regarding the failure of digital campaigns caused by integration errors and would like to request details about the error messages received and the steps already taken to address the issue.,0.9753869771957397,0.994611382484436,0.994611382484436,0.0
